# ------------------------------------------------------------------------------------------
# wid_name,	name string,	subtitle string,	desc string,	
#
workbench_4,	-107.4,	9.2,	51.8,	LEVEL_ARENA_BACKSTAGE,	
workbench_1,	-347.6,	-7.5,	125.3,	LEVEL_SOUTH_PLAZA,	
workbench_2,	-297.5,	-7.4,	208.2,	LEVEL_SOUTH_PLAZA,	
underground_exit,	-304.9,	-7.4,	108.6,	LEVEL_SOUTH_PLAZA,	
workbench_2,	-230.6,	-7.4,	131.9,	LEVEL_SOUTH_PLAZA,	
workbench_1,	-219.8,	-7.4,	52.1,	LEVEL_SOUTH_PLAZA,	
savepoint,	-182.1,	-7.4,	119.4,	LEVEL_SOUTH_PLAZA,	
elevator_up,	-177.8,	-6.4,	28.7,	LEVEL_SOUTH_PLAZA,	
workbench_2,	233.7,	0.0,	-321.2,	LEVEL_YUCATAN_CASINO,	
savepoint,	349.5,	0.0,	-359.9,	LEVEL_YUCATAN_CASINO,	
underground_exit,	324.2,	0.0,	-352.7,	LEVEL_YUCATAN_CASINO,	
elevator_up,	332.5,	0.0,	-334.1,	LEVEL_YUCATAN_CASINO,	
safehouse,	-304.4,	-4.8,	-156.9,	LEVEL_ROYAL_FLUSH,	
workbench_4,	-74.5,	-1.1,	-144.3,	LEVEL_FOOD_BARN,	
savepoint,	-101.9,	-1.1,	-123.0,	LEVEL_FOOD_BARN,	
workbench_1,	59.6,	-1.4,	-260.6,	LEVEL_FOOD_BARN,	
underground_exit,	98.5,	-1.6,	-241.8,	LEVEL_FOOD_BARN,
elevator_up,	97.1,	0.7,	-86.7,	LEVEL_PALISADES,
workbench_3,	98.6,	-0.6,	-60.4,	LEVEL_PALISADES,	
workbench_1,	269.4,	-0.6,	-164.5,	LEVEL_PALISADES,	
underground_exit,	244.9,	-0.6,	-146.8,	LEVEL_PALISADES,	
workbench_3,	59.1,	1.4,	71.3,	LEVEL_ATLANTICA_CASINO,		
elevator_up,	-37.7,	0.7,	-69.2,	LEVEL_FORTUNE_EXTERIOR,	
