# ------------------------------------------------------------------------------------------
# outfit_name,headwear_piece,head,facewear,chest_piece,hands,leg_piece,feet_piece,
#
OUTFIT_WILD_FRONTIER_HAT,Wild_Frontier_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FEDORA,Fedora,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_BASEBALL_CAP_TIR,Baseball_Cap_TIR,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_BASEBALL_CAP_SPORT,Baseball_Cap_Sport,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_TUQUE,Tuque,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_WHITE_COWBOY_HAT,White_Cowboy_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_BLACK_COWBOY_HAT,Black_Cowboy_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FOOTBALL_HELMET,Football_Helmet,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_DEALER_VISOR,Dealer_Visor,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_TOURIST_BOAT_HAT,Tourist_Boat_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_TENNIS_HEAD_BAND,Tennis_Head_Band,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_AMERICAN_SHOWMAN_HELMET,American_Showman_Helmet,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_LADIES_HAT,Ladies_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FUNNY_MASK_ZOMBIE,Funny_Mask_Zombie,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FUNNY_MASK_LIZARD,Funny_Mask_Lizard,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FUNNY_MASK_SERVBOT,Funny_Mask_Servbot,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FUNNY_MASK_BLANKA,Funny_Mask_Blanka,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_BLACK_RIMMED_GLASSES,NONE,naked,Black_Rimmed_Glasses,NONE,NONE,NONE,NONE,
OUTFIT_YELLOW_TINTED_GLASSES,NONE,naked,Yellow_Tinted_Glasses,NONE,NONE,NONE,NONE,
OUTFIT_DARK_AVIATOR_GLASSES,NONE,naked,Dark_Aviator_Glasses,NONE,NONE,NONE,NONE,
OUTFIT_KIDS_SUPER_HERO_EYE_MASK,NONE,naked,Kids_Super_Hero_Eye_Mask,NONE,NONE,NONE,NONE,
OUTFIT_NOVELTY_GLASSES,NONE,naked,Novelty_Glasses,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FULL_BEARD_MOUSTACHE,NONE,naked,arthur,NONE,NONE,NONE,NONE,
OUTFIT_SPORT_GLASSES,NONE,naked,Sport_Glasses,NONE,NONE,NONE,NONE,
OUTFIT_LARGE_RHINESTONE_GLASSES,NONE,naked,Large_Rhinestone_Glasses,NONE,NONE,NONE,NONE,
OUTFIT_HYGIENE_MASK,NONE,naked,Hygiene_Mask,NONE,NONE,NONE,NONE,
OUTFIT_ARMY_JACKET_PANTS,NONE,naked,NONE,Army_Jacket_Pants,Banana_Hammock,Army_Jacket_Pants,NONE,
OUTFIT_YELLOW_TRACK_SUIT,NONE,naked,NONE,Yellow_Track_Suit,Banana_Hammock,Yellow_Track_Suit,NONE,
OUTFIT_HIP_HOP_OUTFIT,NONE,naked,NONE,Hip_Hop_Outfit,naked,Hip_Hop_Outfit,NONE,
OUTFIT_FOOTBALL_UNIFORM,NONE,naked,NONE,Football_Uniform,Banana_Hammock,Football_Uniform,NONE,
OUTFIT_BASEBALL_UNIFORM,NONE,naked,NONE,Baseball_Uniform,naked,Baseball_Uniform,NONE,
OUTFIT_BASKETBALL_UNIFORM,NONE,naked,NONE,Basketball_Uniform,naked,Basketball_Uniform,NONE,
OUTFIT_SWAT_OUTFIT,NONE,naked,NONE,SWAT_Outfit,SWAT_Outfit,SWAT_Outfit,NONE,
OUTFIT_BLACK_TUXEDO_BOW_TIE,NONE,naked,NONE,Black_Tuxedo_Bow_Tie,Banana_Hammock,Black_Tuxedo_Bow_Tie,NONE,
OUTFIT_SPORTY_TRACK_SUIT,NONE,naked,NONE,Sporty_Track_Suit,Banana_Hammock,Sporty_Track_Suit,NONE,
OUTFIT_BLUE_OYSTER_BIKER_OUTFIT,NONE,naked,NONE,Blue_Oyster_Biker_Outfit,naked,Blue_Oyster_Biker_Outfit,NONE,
OUTFIT_ONE_PIECE_PAJAMA,NONE,naked,NONE,One_Piece_Pajama,Banana_Hammock,One_Piece_Pajama,NONE,
OUTFIT_TUBE_TOP_MINI_SKIRT,NONE,naked,NONE,Tube_Top_Mini_Skirt,naked,Tube_Top_Mini_Skirt,NONE,
OUTFIT_FISH_NET_SHIRT_WHITE_PANTS,NONE,naked,NONE,Fish_Net_shirt_white_pants,naked,Fish_Net_shirt_white_pants,NONE,
OUTFIT_COCONUT_BRA_HOLA_DRESS,NONE,naked,NONE,Coconut_Bra_Hola_Dress,naked,Coconut_Bra_Hola_Dress,NONE,
OUTFIT_KNOTTED_TOP_CUTOFFS,NONE,naked,NONE,Knotted_Top_Cutoffs,naked,Knotted_Top_Cutoffs,NONE,
OUTFIT_BANANA_HAMMOCK,NONE,naked,NONE,Banana_Hammock,naked,Banana_Hammock,NONE,
OUTFIT_SUMMER_DRESS,NONE,naked,NONE,Summer_Dress,naked,Summer_Dress,NONE,
OUTFIT_KIDS_SUPER_HERO_COSTUME,NONE,naked,NONE,Kids_Super_Hero_Costume,naked,Kids_Super_Hero_Costume,NONE,
OUTFIT_WILLIAMETTE_MALL_SECURITY,NONE,naked,NONE,Williamette_Mall_Security,Banana_Hammock,Williamette_Mall_Security,NONE,
OUTFIT_KNIGHT_ARMOUR,NONE,naked,NONE,Knight_Armour,Banana_Hammock,Knight_Armour,NONE,
OUTFIT_ARTHURS_BOXERS,NONE,naked,NONE,Arthurs_Boxers,Banana_Hammock,Arthurs_Boxers,NONE,
OUTFIT_TATTERED_CLOTHES,NONE,naked,NONE,Tattered_Clothes,naked,Tattered_Clothes,NONE,
OUTFIT_ORANGE_PRISON_OUTFIT,NONE,naked,NONE,Orange_Prison_Outfit,naked,Orange_Prison_Outfit,NONE,
OUTFIT_TODDLER_OUTFIT,NONE,naked,NONE,Toddler_Outfit,Banana_Hammock,Toddler_Outfit,NONE,
OUTFIT_HAWAIIAN_SHIRT_1_SHORTS,NONE,naked,NONE,Hawaiian_Shirt_1_shorts,naked,Hawaiian_Shirt_1_shorts,NONE,
OUTFIT_HAWAIIAN_SHIRT_2_SHORTS,NONE,naked,NONE,Hawaiian_Shirt_2_shorts,naked,Hawaiian_Shirt_2_shorts,NONE,
OUTFIT_HAWAIIAN_SHIRT_3_PANTS,NONE,naked,NONE,Hawaiian_Shirt_3_Pants,naked,Hawaiian_Shirt_3_Pants,NONE,
OUTFIT_HAWAIIAN_SHIRT_4_PANTS,NONE,naked,NONE,Hawaiian_Shirt_4_Pants,naked,Hawaiian_Shirt_4_Pants,NONE,
OUTFIT_DEALER_OUTFIT,NONE,naked,NONE,Dealer_Outfit,Banana_Hammock,Dealer_Outfit,NONE,
OUTFIT_WHITE_COWBOY_OUTFIT,NONE,naked,NONE,White_Cowboy_Outfit,Banana_Hammock,White_Cowboy_Outfit,NONE,
OUTFIT_BLACK_COWBOY_OUTFIT,NONE,naked,NONE,Black_Cowboy_Outfit,Banana_Hammock,Black_Cowboy_Outfit,NONE,
OUTFIT_WHITE_LEISURE_SUIT,NONE,naked,NONE,White_Leisure_Suit,Banana_Hammock,White_Leisure_Suit,NONE,
OUTFIT_AMERICAN_SHOWMAN_OUTFIT,American_Showman_Helmet,naked,NONE,American_Showman_Outfit,Banana_Hammock,American_Showman_Outfit,NONE,
OUTFIT_CARDIGAN_SLACKS,NONE,naked,NONE,Cardigan_Slacks,Banana_Hammock,Cardigan_Slacks,NONE,
OUTFIT_TENNIS_OUTFIT,NONE,naked,NONE,Tennis_Outfit,Banana_Hammock,Tennis_Outfit,NONE,
OUTFIT_BLUE_GREY_WORK_OVERALLS,NONE,naked,NONE,Blue_Grey_Work_Overalls,Banana_Hammock,Blue_Grey_Work_Overalls,NONE,
OUTFIT_SURF_WETSUIT,NONE,naked,NONE,Surf_Wetsuit,Banana_Hammock,Surf_Wetsuit,NONE,
OUTFIT_COMEDIAN_OUTFIT,NONE,naked,NONE,Comedian_Outfit,Banana_Hammock,Comedian_Outfit,NONE,
OUTFIT_POLO_SHIRT_BLUE_JEANS,NONE,naked,NONE,Polo_Shirt_Blue_Jeans,naked,Polo_Shirt_Blue_Jeans,NONE,
OUTFIT_FORTUNE_TSHIRT_1_BLUE_JEANS,NONE,naked,NONE,Fortune_Tshirt_1_Blue_Jeans,naked,Fortune_Tshirt_1_Blue_Jeans,NONE,
OUTFIT_FORTUNE_TSHIRT_2_BLACK_JEANS,NONE,naked,NONE,Fortune_Tshirt_2_Black_Jeans,naked,Fortune_Tshirt_2_Black_Jeans,NONE,
OUTFIT_PLAID_SUIT_BROWN_SHIRT_TIE,NONE,naked,NONE,Plaid_Suit_Brown_Shirt_Tie,Banana_Hammock,Plaid_Suit_Brown_Shirt_Tie,NONE,
OUTFIT_TAN_JACKET_SLACKS_TURTLENECK,NONE,naked,NONE,Tan_Jacket_Slacks_Turtleneck,Banana_Hammock,Tan_Jacket_Slacks_Turtleneck,NONE,
OUTFIT_SKATER_OUTFIT,NONE,naked,NONE,Skater_Outfit,naked,Skater_Outfit,NONE,
OUTFIT_MID_LENGTH_TSHIRT_JEANS,NONE,naked,NONE,Mid_length_Tshirt_Jeans,Banana_Hammock,Mid_length_Tshirt_Jeans,NONE,
OUTFIT_BARE_FEET_CHUCK,NONE,naked,NONE,NONE,NONE,NONE,naked_over,
OUTFIT_YELLOW_SNEAKERS,NONE,naked,NONE,NONE,NONE,NONE,Yellow_Sneakers_over,
OUTFIT_BASKETBALL_HIGH_TOPS,NONE,naked,NONE,NONE,NONE,NONE,Basketball_High_Tops_over,
OUTFIT_BLACK_CANVAS_SNEAKERS,NONE,naked,NONE,NONE,NONE,NONE,Black_Canvas_Sneakers_over,
OUTFIT_WHITE_LOW_HEELS,NONE,naked,NONE,NONE,NONE,NONE,White_Low_heels_over,
OUTFIT_HOOKER_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,Hooker_Boots_over,
OUTFIT_SANDALS_WHITE_SOCKS,NONE,naked,NONE,NONE,NONE,NONE,Sandals_White_Socks_over,
OUTFIT_KIDS_SUPER_HERO_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,Kids_Super_Hero_Boots_over,
OUTFIT_BUNNY_SLIPPERS,NONE,naked,NONE,NONE,NONE,NONE,Bunny_Slippers_over,
OUTFIT_KNIGHT_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,Knight_Boots_over,
OUTFIT_BARE_FEET_KEN,NONE,naked,NONE,NONE,NONE,NONE,Bare_Feet_Ken_over,
OUTFIT_FLIP_FLOPS,NONE,naked,NONE,NONE,NONE,NONE,Flip_Flops_over,
OUTFIT_BLACK_MILITARY_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,Black_Military_Boots_over,
OUTFIT_CLEATS,NONE,naked,NONE,NONE,NONE,NONE,Cleats_over,
OUTFIT_BLACK_DRESS_SHOES,NONE,naked,NONE,NONE,NONE,NONE,Black_Dress_Shoes_over,
OUTFIT_WHITE_COWBOY_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,White_Cowboy_Boots_over,
OUTFIT_BLACK_COWBOY_BOOTS,NONE,naked,NONE,NONE,NONE,NONE,Black_Cowboy_Boots_over,
OUTFIT_WHITE_TENNIS_SHOES_SOCKS,NONE,naked,NONE,NONE,NONE,NONE,White_Tennis_Shoes_Socks_over,
OUTFIT_BARE_FEET_CHUCK_UNDER,NONE,naked,NONE,NONE,NONE,NONE,naked_over,
OUTFIT_YELLOW_SNEAKERS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Yellow_Sneakers_under,
OUTFIT_BASKETBALL_HIGH_TOPS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Basketball_High_Tops_under,
OUTFIT_BLACK_CANVAS_SNEAKERS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Black_Canvas_Sneakers_under,
OUTFIT_WHITE_LOW_HEELS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,White_Low_heels_under,
OUTFIT_HOOKER_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Hooker_Boots_under,
OUTFIT_SANDALS_WHITE_SOCKS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Sandals_White_Socks_under,
OUTFIT_KIDS_SUPER_HERO_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Kids_Super_Hero_Boots_under,
OUTFIT_BUNNY_SLIPPERS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Bunny_Slippers_under,
OUTFIT_KNIGHT_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Knight_Boots_under,
OUTFIT_BARE_FEET_KEN_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Bare_Feet_Ken_under,
OUTFIT_FLIP_FLOPS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Flip_Flops_under,
OUTFIT_BLACK_MILITARY_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Black_Military_Boots_under,
OUTFIT_CLEATS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Cleats_under,
OUTFIT_BLACK_DRESS_SHOES_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Black_Dress_Shoes_under,
OUTFIT_WHITE_COWBOY_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,White_Cowboy_Boots_under,
OUTFIT_BLACK_COWBOY_BOOTS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,Black_Cowboy_Boots_under,
OUTFIT_WHITE_TENNIS_SHOES_SOCKS_UNDER,NONE,naked,NONE,NONE,NONE,NONE,White_Tennis_Shoes_Socks_under,
OUTFIT_COWBOY_UNDER,cowboy,naked,NONE,cowboy,Banana_Hammock,cowboy,cowboy_under,
OUTFIT_DEFAULT_UNDER,base,naked,NONE,default,Banana_Hammock,default,Default_Riding_Boots_under,
OUTFIT_COOP_DEFAULT_UNDER,base,naked,NONE,champions_jacket2,Banana_Hammock,default,Default_Riding_Boots_under,
OUTFIT_NAKED_UNDER,NONE,naked,NONE,naked,Banana_Hammock,naked,naked_under,
OUTFIT_MALLPATROL_UNDER,NONE,naked,NONE,mallpatrol,Banana_Hammock,mallpatrol,mallpatrol_under,
OUTFIT_TIR_UNDER,tir_outfit,naked,NONE,tir_outfit,tir_outfit,tir_outfit,tir_outfit_under,
OUTFIT_TIR_FAN_UNDER,tir,naked,NONE,tir,naked,TIR_Souvenir_Clothing,NONE,
OUTFIT_ARTHUR_UNDER,arthur,naked,arthur,arthur,arthur,arthur,Knight_Boots_under,
OUTFIT_SHOCK_COLLAR,NONE,naked,shock_collar,NONE,NONE,NONE,NONE,
OUTFIT_DLC_NINJA,dlc_ninja,naked,dlc_ninja,dlc_ninja,dlc_ninja,dlc_ninja,dlc_ninja_over,
OUTFIT_DLC_SPORTSFAN,dlc_sportsfan,dlc_sportsfan,NONE,dlc_sportsfan,dlc_sportsfan,dlc_sportsfan,dlc_sportsfan_over,
OUTFIT_DLC_PSYCHOPATH,dlc_psychopath,dlc_psychopath,dlc_psychopath,dlc_psychopath,dlc_psychopath,dlc_psychopath,dlc_psychopath_over,
OUTFIT_DLC_SOLDIEROFFORTUNE,dlc_sof,dlc_sof,NONE,dlc_sof,naked,dlc_sof,dlc_sof_over,
OUTFIT_TIR_YELLOW,tir_outfit,naked,NONE,tir_outfit_yellow,tir_outfit,tir_outfit_yellow,tir_outfit_over,
OUTFIT_CHAMPIONS_JACKET,NONE,naked,NONE,champions_jacket,naked,default,NONE,
OUTFIT_CHAMPIONS_JACKET2,NONE,naked,NONE,champions_jacket2,naked,default,NONE,
OUTFIT_BOWLING_SHIRT_JEANS,NONE,naked,NONE,Bowling_Shirt_Jeans,naked,Bowling_Shirt_Jeans,NONE,
OUTFIT_DINER_WAITRESS_OUTFIT,NONE,naked,NONE,Diner_Waitress_Outfit,naked,Diner_Waitress_Outfit,NONE,
OUTFIT_GREASY_OVERALL_PLAID_SHIRT,NONE,naked,NONE,Greasy_Overall_Plaid_Shirt,Banana_Hammock,Greasy_Overall_Plaid_Shirt,NONE,
OUTFIT_HUNTING_JACKET_ORANGE_VEST,NONE,naked,NONE,Hunting_Jacket_Orange_Vest,Banana_Hammock,Hunting_Jacket_Orange_Vest,NONE,
